idx,env_name,algo,seed,flags
46,cube-triple-play-v0,gcbc,0,--agent=agents/gcbc.py
47,cube-triple-play-v0,gcbc,1,--agent=agents/gcbc.py
48,cube-triple-play-v0,gcbc,2,--agent=agents/gcbc.py
49,cube-triple-play-v0,gcivl,0,--agent=agents/gcivl.py --agent.alpha=10.0
50,cube-triple-play-v0,gcivl,1,--agent=agents/gcivl.py --agent.alpha=10.0
51,cube-triple-play-v0,gcivl,2,--agent=agents/gcivl.py --agent.alpha=10.0
52,cube-triple-play-v0,gciql,0,--agent=agents/gciql.py --agent.alpha=1.0
53,cube-triple-play-v0,gciql,1,--agent=agents/gciql.py --agent.alpha=1.0
54,cube-triple-play-v0,gciql,2,--agent=agents/gciql.py --agent.alpha=1.0
55,cube-triple-play-v0,qrl,0,--agent=agents/qrl.py --agent.alpha=0.3
56,cube-triple-play-v0,qrl,1,--agent=agents/qrl.py --agent.alpha=0.3
57,cube-triple-play-v0,qrl,2,--agent=agents/qrl.py --agent.alpha=0.3
58,cube-triple-play-v0,crl,0,--agent=agents/crl.py --agent.alpha=3.0
59,cube-triple-play-v0,crl,1,--agent=agents/crl.py --agent.alpha=3.0
60,cube-triple-play-v0,crl,2,--agent=agents/crl.py --agent.alpha=3.0
61,cube-triple-noisy-v0,gcbc,0,--agent=agents/gcbc.py
62,cube-triple-noisy-v0,gcbc,1,--agent=agents/gcbc.py
63,cube-triple-noisy-v0,gcbc,2,--agent=agents/gcbc.py
64,cube-triple-noisy-v0,gcivl,0,--agent=agents/gcivl.py --agent.alpha=10.0
65,cube-triple-noisy-v0,gcivl,1,--agent=agents/gcivl.py --agent.alpha=10.0
66,cube-triple-noisy-v0,gcivl,2,--agent=agents/gcivl.py --agent.alpha=10.0
67,cube-triple-noisy-v0,gciql,0,--agent=agents/gciql.py --agent.alpha=0.03
68,cube-triple-noisy-v0,gciql,1,--agent=agents/gciql.py --agent.alpha=0.03
69,cube-triple-noisy-v0,gciql,2,--agent=agents/gciql.py --agent.alpha=0.03
70,cube-triple-noisy-v0,qrl,0,--agent=agents/qrl.py --agent.alpha=0.03
71,cube-triple-noisy-v0,qrl,1,--agent=agents/qrl.py --agent.alpha=0.03
72,cube-triple-noisy-v0,qrl,2,--agent=agents/qrl.py --agent.alpha=0.03
73,cube-triple-noisy-v0,crl,0,--agent=agents/crl.py --agent.alpha=0.1
74,cube-triple-noisy-v0,crl,1,--agent=agents/crl.py --agent.alpha=0.1
75,cube-triple-noisy-v0,crl,2,--agent=agents/crl.py --agent.alpha=0.1
76,cube-quadruple-play-v0,gcbc,0,--agent=agents/gcbc.py
77,cube-quadruple-play-v0,gcbc,1,--agent=agents/gcbc.py
78,cube-quadruple-play-v0,gcbc,2,--agent=agents/gcbc.py
79,cube-quadruple-play-v0,gcivl,0,--agent=agents/gcivl.py --agent.alpha=10.0
80,cube-quadruple-play-v0,gcivl,1,--agent=agents/gcivl.py --agent.alpha=10.0
81,cube-quadruple-play-v0,gcivl,2,--agent=agents/gcivl.py --agent.alpha=10.0
82,cube-quadruple-play-v0,gciql,0,--agent=agents/gciql.py --agent.alpha=1.0
83,cube-quadruple-play-v0,gciql,1,--agent=agents/gciql.py --agent.alpha=1.0
84,cube-quadruple-play-v0,gciql,2,--agent=agents/gciql.py --agent.alpha=1.0
85,cube-quadruple-play-v0,qrl,0,--agent=agents/qrl.py --agent.alpha=0.3
86,cube-quadruple-play-v0,qrl,1,--agent=agents/qrl.py --agent.alpha=0.3
87,cube-quadruple-play-v0,qrl,2,--agent=agents/qrl.py --agent.alpha=0.3
88,cube-quadruple-play-v0,crl,0,--agent=agents/crl.py --agent.alpha=3.0
89,cube-quadruple-play-v0,crl,1,--agent=agents/crl.py --agent.alpha=3.0
90,cube-quadruple-play-v0,crl,2,--agent=agents/crl.py --agent.alpha=3.0
91,scene-play-v0,gcbc,0,--agent=agents/gcbc.py
92,scene-play-v0,gcbc,1,--agent=agents/gcbc.py
93,scene-play-v0,gcbc,2,--agent=agents/gcbc.py
94,scene-play-v0,gcivl,0,--agent=agents/gcivl.py --agent.alpha=10.0
95,scene-play-v0,gcivl,1,--agent=agents/gcivl.py --agent.alpha=10.0
96,scene-play-v0,gcivl,2,--agent=agents/gcivl.py --agent.alpha=10.0
97,scene-play-v0,gciql,0,--agent=agents/gciql.py --agent.alpha=1.0
98,scene-play-v0,gciql,1,--agent=agents/gciql.py --agent.alpha=1.0
99,scene-play-v0,gciql,2,--agent=agents/gciql.py --agent.alpha=1.0
100,scene-play-v0,qrl,0,--agent=agents/qrl.py --agent.alpha=0.3
101,scene-play-v0,qrl,1,--agent=agents/qrl.py --agent.alpha=0.3
102,scene-play-v0,qrl,2,--agent=agents/qrl.py --agent.alpha=0.3
103,scene-play-v0,crl,0,--agent=agents/crl.py --agent.alpha=3.0
104,scene-play-v0,crl,1,--agent=agents/crl.py --agent.alpha=3.0
105,scene-play-v0,crl,2,--agent=agents/crl.py --agent.alpha=3.0
106,puzzle-4x4-play-v0,gcbc,0,--agent=agents/gcbc.py
107,puzzle-4x4-play-v0,gcbc,1,--agent=agents/gcbc.py
108,puzzle-4x4-play-v0,gcbc,2,--agent=agents/gcbc.py
109,puzzle-4x4-play-v0,gcivl,0,--agent=agents/gcivl.py --agent.alpha=10.0
110,puzzle-4x4-play-v0,gcivl,1,--agent=agents/gcivl.py --agent.alpha=10.0
111,puzzle-4x4-play-v0,gcivl,2,--agent=agents/gcivl.py --agent.alpha=10.0
112,puzzle-4x4-play-v0,gciql,0,--agent=agents/gciql.py --agent.alpha=1.0
113,puzzle-4x4-play-v0,gciql,1,--agent=agents/gciql.py --agent.alpha=1.0
114,puzzle-4x4-play-v0,gciql,2,--agent=agents/gciql.py --agent.alpha=1.0
115,puzzle-4x4-play-v0,qrl,0,--agent=agents/qrl.py --agent.alpha=0.3
116,puzzle-4x4-play-v0,qrl,1,--agent=agents/qrl.py --agent.alpha=0.3
117,puzzle-4x4-play-v0,qrl,2,--agent=agents/qrl.py --agent.alpha=0.3
118,puzzle-4x4-play-v0,crl,0,--agent=agents/crl.py --agent.alpha=3.0
119,puzzle-4x4-play-v0,crl,1,--agent=agents/crl.py --agent.alpha=3.0
120,puzzle-4x4-play-v0,crl,2,--agent=agents/crl.py --agent.alpha=3.0
